Date,hr_usd_OOS,rho_usd_OOS,hr_eur_OOS,rho_eur_OOS
2024-01-01,0.6438564750565063,0.6906503436580494,0.4677480111792001,0.4112877058640661
2024-01-02,0.6482716658684606,0.6917254981164453,0.4865711667317945,0.42992077739202844
2024-01-03,0.6262502108780721,0.6900292682385698,0.5804650165266435,0.49130814090303854
2024-01-04,0.624287230218538,0.6888842768828896,0.5510416134474937,0.48619270519914587
2024-01-05,0.6270003015432941,0.6905855488550198,0.5493512906220366,0.4881959780540894
2024-01-08,0.6465830201219739,0.6984311204854361,0.5443620882138798,0.4930914378467555
2024-01-09,0.650821551133571,0.6971600100594532,0.5272149304218396,0.4838952344907519
2024-01-10,0.65647951977163,0.6932467869134533,0.5246184233856239,0.48486877806156686
2024-01-11,0.6604828312953946,0.699455830686523,0.52523046819943,0.4827663702984833
2024-01-12,0.6590330444190386,0.6956721404627121,0.5182578100557654,0.48138381381877837
2024-01-15,0.7027874234471218,0.6940111371080527,0.5439825583296547,0.5009648953251358
2024-01-16,0.6958878298442822,0.6949621738253735,0.5331216821173177,0.4954048069311054
2024-01-17,0.746943439095946,0.7311664741764117,0.5494398341917905,0.5093339848856597
2024-01-18,0.7593147986931343,0.7270595569785954,0.5359659681538148,0.49661877211383637
2024-01-19,0.7592963674277041,0.7273431779523573,0.521774022161336,0.48628760204305993
2024-01-23,0.7591466043656515,0.7304002766284811,0.5097506161249141,0.4770040142395096
2024-01-24,0.7503667071222412,0.7320832708385485,0.5139014029834832,0.4731633379660288
2024-01-25,0.7495871788214131,0.7325786145931789,0.5335409533506718,0.48950487359852746
2024-01-29,0.7467106836380024,0.7315975909660268,0.5373645025844319,0.48837358289715305
2024-01-30,0.7407662270031217,0.7295862657487088,0.5237204203086328,0.489060498974234
2024-01-31,0.7314125440899617,0.7261265935121062,0.5207465008512923,0.48905807312985894
2024-02-01,0.7237924291099425,0.7261672310261763,0.5277297409941822,0.49193792349097776
2024-02-02,0.7450451063958987,0.7280672290436149,0.43803497911753975,0.4113211249353518
2024-02-05,0.7243855944170863,0.714132985652991,0.21129450168077943,0.19736895492364356
2024-02-06,0.6835689972312081,0.7095448741181299,0.3187845189032522,0.32953848854353707
2024-02-07,0.6848856028122132,0.7095641258481975,0.33886284748892687,0.3510624001560866
2024-02-08,0.6909010149347808,0.7135321761149357,0.36717574464097796,0.38365014714990375
2024-02-09,0.691094829001849,0.7138802219811942,0.3909111761826257,0.4085116745208869
2024-02-12,0.6862387362365857,0.7139811693218077,0.41105448080242196,0.4294307443507624
2024-02-13,0.6873299425806603,0.7150587041228632,0.42498054705252114,0.442315527075473
2024-02-14,0.7121637399922918,0.6991097829270672,0.4246884906377126,0.42861806974531863
2024-02-15,0.7021881329018796,0.6883724393456396,0.3611008235395048,0.38336243781348983
2024-02-16,0.7039767702758939,0.6882073323473682,0.412234773925458,0.4320006343735168
2024-02-20,0.6996086651196425,0.6859581078391636,0.4200990954874936,0.4449782281947516
2024-02-21,0.7171872883767058,0.68979553828081,0.4334041697646876,0.45919161954507703
2024-02-22,0.7169914129063772,0.6882241512003683,0.44027049159888976,0.4628196048041661
2024-02-23,0.71296921334546,0.6971776723036535,0.42443973235824023,0.4518921713019092
2024-02-26,0.6975569758313911,0.6958627844553265,0.4329167362052831,0.4606727963546079
2024-02-27,0.6942690320828675,0.6964051217949639,0.4514749898235027,0.47268175828886383
2024-02-28,0.6951266538215282,0.6962187564609618,0.4545274583146455,0.4752251147129345
2024-02-29,0.6751111732561542,0.694054116857722,0.4578106223598573,0.4784495284259491
2024-03-01,0.6751505229040061,0.6946083398931451,0.42066138752270305,0.433975434119915
2024-03-04,0.6802243395821584,0.6959377966029939,0.39726254758236257,0.40715860907139706
2024-03-05,0.6865016146719167,0.6896203867948615,0.4351699865018846,0.4486849993954771
2024-03-06,0.685189040321962,0.6888053616346956,0.44508290499422787,0.45827547480064457
2024-03-07,0.7001840066745351,0.6978341699585082,0.4647178896165115,0.47178160658937923
2024-03-11,0.6458422491722867,0.6983230594801008,0.4630513374683817,0.4573524274823829
2024-03-12,0.622884771855027,0.6933698701479886,0.39877396081084276,0.40862267126810536
2024-03-13,0.6339419498198661,0.6941309199633394,0.4196932108911492,0.42917165875432906
2024-03-14,0.6301015491420427,0.695513980862537,0.4431208671401827,0.4469719792663399
2024-03-15,0.6476267676460812,0.6868356109906252,0.4348088425400949,0.41999894271749905
2024-03-18,0.6458769622980681,0.6836936099209632,0.4138002672277892,0.4134300536119149
2024-03-19,0.6427592598586475,0.6841205576470226,0.4172593093505318,0.4175395149943204
2024-03-20,0.6493302174734461,0.6962000450909336,0.4037093191805575,0.4112007920437368
2024-03-21,0.6960683588025258,0.7121342488496128,0.4618197996069832,0.4182582819155709
2024-03-22,0.6923473039839533,0.7114572035680422,0.2704021689779085,0.25088003554902544
2024-03-26,0.6700935344591115,0.8042183564040419,0.32570433863872666,0.30592327587696716
2024-03-27,0.6730092768722074,0.8136174072622648,0.375108907234112,0.3531102730878767
2024-03-28,0.6735226922254366,0.8125330535458762,0.41087700599398425,0.38760721384435365
2024-04-02,0.6778367976319368,0.812320528847944,0.46156773556828695,0.43594784496168326
2024-04-03,0.6789518034446739,0.8108412482044459,0.4842620202460101,0.46600055726920575
2024-04-04,0.7132173167711257,0.806967540417162,0.6178635404814071,0.5408999145100152
2024-04-05,0.7271578359357974,0.8019256024982424,0.508312040163014,0.465082545249631
2024-04-08,0.7181996751286763,0.8014029414912983,0.5028425571436712,0.4676683015018025
2024-04-10,0.7202075445645418,0.8011085159948153,0.49597851424849815,0.46116976853086666
2024-04-12,0.7083092809176474,0.780258517502032,0.46742973151308137,0.38755655834818087
2024-04-15,0.6700217168085522,0.7841352206641208,0.5194772928890861,0.520661683424808
2024-04-16,0.6736028165183581,0.7838567493620588,0.5099604955687876,0.5087420178159902
2024-04-18,0.6880695803315914,0.7865517174198751,0.4985268830234625,0.49794073691765695
2024-04-19,0.6947734531360812,0.7866928416518238,0.4915975672640433,0.49657123285909976
2024-04-22,0.710866074790143,0.7817587531277547,0.48423929899639584,0.4950449261889614
2024-04-23,0.7005128241721428,0.7785685404918182,0.48009454359146336,0.491613049782559
2024-04-24,0.7067162957925534,0.7772643858132273,0.47753237107441704,0.4802304779519745
2024-04-25,0.7083938891812874,0.7748682969668773,0.47640988169642423,0.480994759440433
2024-04-26,0.7099622761475358,0.7747224193626172,0.492674214191033,0.4987312305764312
2024-04-29,0.7210387741178281,0.772991842913155,0.4690998595325403,0.4729982804088797
2024-04-30,0.6609161500488533,0.7600449816183438,0.46807548498577917,0.46629081968644054
2024-05-02,0.6612463978647619,0.7574985651409587,0.45301377752800465,0.43791142484308676
2024-05-03,0.6602962543952603,0.7560047668946654,0.43396581249057886,0.39868716163776097
2024-05-06,0.664624204107139,0.7553195742077804,0.46952645407963556,0.4340814311304984
2024-05-07,0.6769267074950145,0.7570483034344759,0.49138321731986445,0.45966937654557516
2024-05-08,0.6785190748566298,0.7573192674870041,0.4873928087503555,0.45635643364645073
2024-05-09,0.6801417870253442,0.7573439654770159,0.4938745453447507,0.46507067030769145
2024-05-10,0.6821782354386958,0.7573073919726259,0.4660841091027584,0.43481927085935
2024-05-13,0.6953068362635099,0.7501122148591313,0.4511811261591138,0.43391417703172913
2024-05-14,0.6984858960105985,0.7445280769716435,0.46466779387964896,0.4497422733131834
2024-05-15,0.6999202198421883,0.7444293631052249,0.47382706345883624,0.4506697791524869
2024-05-16,0.7051323769231924,0.7431252858622576,0.5306930711446995,0.48714602275371105
2024-05-17,0.7069413612175511,0.7417400571227902,0.45295757819837645,0.4356590695852696
2024-05-21,0.7236004807601828,0.7516502878422943,0.4653876322409264,0.4576107643488776
2024-05-22,0.7224017041703633,0.7523279183195788,0.4680506335020561,0.45777552302430574
2024-05-24,0.7224389418835298,0.7530016332014419,0.49562564353029775,0.48081779778806216
2024-05-27,0.7282807611174625,0.764510505768802,0.48846086883379614,0.4765400592833423
2024-05-28,0.7311558449231446,0.7634756932296978,0.4966919697110416,0.4849230428526934
2024-05-29,0.7342856212372413,0.7645200059670075,0.494937333478857,0.48463051500176546
2024-05-30,0.7728546145176399,0.7733764905239713,0.4710445794823297,0.4556965663440901
2024-05-31,0.7694492436039023,0.7672617244409824,0.44867901391198634,0.4335681628014983
2024-06-03,0.777564783604489,0.7744667560803226,0.4835399903038687,0.47275029563252724
2024-06-04,0.7994690789588453,0.8059323211986634,0.4423274943417781,0.43824951875239193
2024-06-05,0.8775125766711854,0.8341684100834051,0.4797941674231966,0.48173201012669953
2024-06-06,0.8830124266670901,0.83506454561015,0.4852382826719846,0.48023875688179773
2024-06-07,0.885883314149618,0.8353240502557705,0.5092805614291231,0.502401663645571
2024-06-10,0.8710655878058526,0.8278264883746086,0.4575304975403756,0.4128438305518196
2024-06-11,0.8547295388508823,0.8230461322835615,0.42881028114521996,0.4602376252509776
2024-06-12,0.85913178378892,0.8235294673457593,0.4287825226590577,0.4596925480673641
2024-06-13,0.8715239233922206,0.8167162094437059,0.4354772648524388,0.44971113470107904
2024-06-14,0.8774735688857025,0.8100355659403159,0.37184054498618113,0.3735869610203632
2024-06-18,0.8771762295385478,0.8096916047853961,0.4077924390851229,0.4349090011828783
2024-06-19,0.896426741882112,0.8114308345635666,0.4166686751790443,0.44377829424453735
2024-06-20,0.914441286376184,0.808636245649664,0.4335120291671813,0.4604585375001181
2024-06-21,0.896848196812825,0.8115998432077113,0.43618826987701353,0.45985511715276417
2024-06-24,0.8945255172855971,0.8119141694412205,0.44720110474459274,0.47454093266369884
2024-06-25,0.8968041687456987,0.812894966497569,0.4601325589407043,0.48308046568650465
2024-06-26,0.8941232320742953,0.8129708227753066,0.46054237494380795,0.4787763359755479
2024-06-27,0.9097657449076433,0.8151685351052118,0.4648734535215384,0.48207993597007237
2024-06-28,0.9155542573871358,0.8101180539050505,0.4658444214759313,0.48240831622509717
2024-07-01,0.9083130551963721,0.8110135985023733,0.4661828324689235,0.48238209913494096
2024-07-02,0.9088129450342088,0.8116644134281293,0.4934468706922302,0.5163477925699045
2024-07-03,0.9103810749191836,0.811714883532714,0.4666369205471003,0.4889324838880228
2024-07-04,0.9075765579149239,0.8113435841379603,0.5024652438975948,0.5166605495557444
2024-07-05,0.9075716781195702,0.8110008610243276,0.5000949462107813,0.5172039948546967
2024-07-08,0.9058841149243665,0.8101683960674735,0.5065300924704094,0.5211288513739881
2024-07-09,0.9037305338746082,0.8097250297094535,0.4925966123187159,0.5050639998096573
2024-07-10,0.902680304738741,0.8095029603247139,0.4858736519611211,0.496037203586179
2024-07-11,0.903373083669836,0.8088329332492726,0.47916248304689807,0.4833395123526829
2024-07-12,0.8883923976398903,0.8053325359210253,0.5051937001173467,0.4995517740267605
2024-07-15,0.8763247710883164,0.8021968043409515,0.5314676418653876,0.5260977104008678
2024-07-16,0.859178466605082,0.8008888760340249,0.49173206030910127,0.4945134116514902
2024-07-18,0.8579154062899326,0.8007841020184144,0.48540745733700114,0.48956655957649015
2024-07-19,0.856788424528078,0.8013578898678227,0.46122795491574714,0.478427782903847
2024-07-22,0.8938019471808338,0.7971607255058495,0.4353189091315014,0.46214911031579076
2024-07-23,0.8959950583578875,0.7958315295636021,0.4415958539685249,0.4679271654260164
2024-07-24,0.888944954514826,0.7954332768524429,0.46807366998615973,0.48708631480705816
2024-07-25,0.8875335958858728,0.7950405305548585,0.46354179741621276,0.4873679750309287
2024-07-26,0.8828518766999981,0.7946099536936513,0.46006992516259737,0.4867550971969979
2024-07-29,0.8792223519807609,0.7945385561176604,0.46038751705167835,0.48465171878954083
2024-07-30,0.8794723625016684,0.7937542203138698,0.4521823254804937,0.4664009886818144
2024-07-31,0.8610247018866428,0.7862579514375015,0.45914647452119994,0.4735584118296562
2024-08-01,0.8582503559494705,0.7860593657650524,0.4638383203533936,0.47781820682941467
2024-08-02,0.85123401597716,0.7853049864277755,0.49413805731295507,0.5154482359398663
2024-08-05,0.8629420482429113,0.7811931720786851,0.6480277556509091,0.5123983907000952
2024-08-06,0.6861007618108087,0.7926450811458183,0.5223256772552346,0.5389123306224707
2024-08-07,0.6532311738651773,0.7933324145380298,0.5187578230059953,0.5385644113978124
2024-08-08,0.6537872966216352,0.7894050117722743,0.5021988742025112,0.522095444537835
2024-08-09,0.6697730954249804,0.7823573206476999,0.4911112000646013,0.5110331983092904
2024-08-12,0.6728597789211125,0.7806501446845002,0.48404813675202063,0.5041673902276513
2024-08-13,0.6749965712817958,0.7802662611602522,0.4797836758695641,0.49954346304429154
2024-08-14,0.6771980481822745,0.7797168559856233,0.47485548876183237,0.4723350896078648
2024-08-16,0.678772603331609,0.7753106705539873,0.4550555433822977,0.4857178899128118
2024-08-19,0.6848040168058054,0.7710914920583488,0.44810609129095086,0.4800753008316581
2024-08-20,0.682056599149121,0.7715078579511541,0.48446623939773387,0.5087617705855266
2024-08-21,0.6873855832294884,0.7753776927618549,0.4864879268472083,0.5055515209137267
2024-08-22,0.6865326272943209,0.7819267939795709,0.48852995281262496,0.5223162290217745
2024-08-23,0.6936793206863024,0.7801606847312796,0.4568335468979971,0.48642519911348725
2024-08-26,0.7064699340768864,0.77372125820451,0.41325450211470766,0.4194965464186371
2024-08-27,0.7070461142498616,0.7718563047761983,0.3747427376286553,0.38862345535942555
2024-08-28,0.7164202146966282,0.771300154662114,0.4051948560432193,0.41508549998603256
2024-08-29,0.7122206788831639,0.7689389620491069,0.4528496903600605,0.4461549007900534
2024-08-30,0.7127553546696432,0.7692310681290639,0.4895248550226016,0.4789801179622576
2024-09-02,0.7114255305055618,0.7692005795278899,0.5020909600770777,0.4898837359560723
2024-09-03,0.6907621812082074,0.7647404782160894,0.49122794807060016,0.4766418332516009
2024-09-04,0.7013374699447522,0.7641109128314456,0.49663102180937674,0.4821906834156255
2024-09-05,0.6956669066651675,0.7627878896614698,0.5032861796803539,0.4787253302625117
2024-09-06,0.6931253371412525,0.7617858679524936,0.5125651168443557,0.4963182066643878
2024-09-09,0.6929019865008057,0.7599938905262121,0.49440025067296,0.4776916118325207
2024-09-10,0.6958204929333512,0.7558703655370721,0.5477142149963543,0.5313933546533371
2024-09-11,0.6966885609810145,0.7561141834979962,0.5348544200676894,0.5196412653405689
2024-09-12,0.6973582810961739,0.7561901142686929,0.5218094092773768,0.5079830429674915
2024-09-13,0.7000705052454284,0.7568732240423228,0.4570664842663053,0.4263652860780722
2024-09-16,0.698616200671808,0.7588123523667754,0.426513009291656,0.41499904538824933
2024-09-17,0.7016123297329482,0.7586504719087618,0.4725182791284303,0.4457847881255867
2024-09-19,0.6982350959632795,0.7674480591293307,0.47423340581449736,0.44389013144680706
2024-09-20,0.7098410138488505,0.777458007362446,0.4981031627871969,0.4634271199233011
2024-09-23,0.7262523393390689,0.7847999319287545,0.5076784535278516,0.47513911164954586
2024-09-24,0.728871745684547,0.7815147532079181,0.5415781467619273,0.5047991648989937
2024-09-25,0.7077337177284376,0.7836358483909688,0.5884285936848791,0.508581739312033
2024-09-26,0.6969434966114928,0.7797944370657195,0.4577372498241193,0.40202229360065717
2024-09-27,0.677335959071129,0.773228447804099,0.43722521438942086,0.3790706552048806
2024-09-30,0.6907494472913821,0.7797389748521844,0.45778986783076187,0.40284485818068394
2024-10-01,0.6794798184447133,0.7800642369126821,0.3981615681061846,0.3646559807630271
2024-10-03,0.7253648402464293,0.767189414286859,0.4633646761256997,0.454607511106159
2024-10-04,0.7111123985217167,0.7718114441695428,0.47977375655899823,0.4732665575276518
2024-10-07,0.7133941133080196,0.7709118322731003,0.49197759338583125,0.47327916620841604
2024-10-08,0.7140865861698908,0.7675537728392675,0.4562516744992207,0.46116172661522303
2024-10-09,0.7158881155392336,0.7680787877398296,0.4572347344097539,0.4647521122903185
2024-10-10,0.7164140365522685,0.7680230060153963,0.4814353372435846,0.48294185520110156
2024-10-11,0.717023101648989,0.7677694924949879,0.4792841997080431,0.4832856203854036
2024-10-14,0.765561569843902,0.7749461409998141,0.485072070582395,0.4861946741627133
2024-10-15,0.76795761719976,0.7758246761144636,0.49896860495074674,0.4943126929145471
2024-10-16,0.7651831312492288,0.775438649123232,0.502768932988586,0.4992701062200876
2024-10-17,0.762803386756835,0.7753255221394492,0.5081195571518098,0.4997997580910659
2024-10-18,0.7560047224179058,0.7736475299995773,0.519495011890869,0.510405085016776
2024-10-21,0.7554802338571177,0.7719240114989591,0.4897471065613258,0.4699375253576614
2024-10-22,0.7543274303479368,0.7717486146918097,0.4936852955960263,0.4586815338695629
2024-10-23,0.7529892183828554,0.7714058125819093,0.5060646965954907,0.4715139771337228
2024-10-24,0.7524669327901131,0.7713942152552338,0.502190810493098,0.4822418241841732
2024-10-25,0.7514830447698948,0.7713971489990584,0.5237117537548812,0.4876122766199757
2024-10-28,0.7550651515688148,0.7702488609057064,0.4826710530933721,0.44984849381152436
2024-10-29,0.7558426855313497,0.7703702825455512,0.48716065383320084,0.4540152601358732
2024-10-30,0.7537116902609395,0.7693748831961693,0.49228214384805236,0.46031906004656387
2024-10-31,0.7307172396882262,0.7669171438731262,0.5371801965991753,0.503828304204069
2024-11-01,0.7309443658098954,0.7668375513057909,0.5415367987303594,0.5099687194517372
2024-11-04,0.7297646383812779,0.7656717849546679,0.5161278138999128,0.4721952639426643
2024-11-05,0.7334070262000061,0.7671910297593412,0.5666444464270307,0.5099830288044843
2024-11-06,0.7335663363953696,0.7670376353015348,0.5434290198152557,0.4716616579528384
2024-11-07,0.7649053387608878,0.8014294292878962,0.891770339032094,0.7166296287681453
2024-11-08,0.7625713299849515,0.7991395279678319,0.8771186267669651,0.6833349185659153
2024-11-11,0.7856158393506513,0.794980769713711,0.7633890838066657,0.5846720172130555
2024-11-12,0.7848285058428046,0.7942873841778543,0.7154143704761108,0.5927951159208324
2024-11-13,0.7834042998728169,0.7939624098184186,0.6805880122032752,0.5779266859450451
2024-11-14,0.7847590687283615,0.7932606997818863,0.6425718207767218,0.537220969053206
2024-11-18,0.7745086900919336,0.7936959954927592,0.5278939352414808,0.5039203375982289
2024-11-19,0.7756818086704866,0.7959574198463566,0.5471408624454374,0.5121931135267433
2024-11-21,0.7740328964379829,0.794980688075764,0.5247717258134572,0.49843147832467466
2024-11-22,0.7918999322924657,0.7992002253971056,0.5601520483540242,0.49047277507272374
2024-11-25,0.7809864237354281,0.802456750276414,0.5495647104014912,0.5308984674761763
2024-11-26,0.8049194551956097,0.8108864628277671,0.5572044846506383,0.5429300482747268
2024-11-27,0.8078836215714822,0.8055790315938673,0.5388370813274956,0.5281102933338586
2024-11-28,0.7490125422925525,0.804815862010325,0.49755383874684617,0.45531222919163933
2024-11-29,0.7076131367522703,0.7979912665871411,0.39477798243478185,0.4018155420800877
2024-12-02,0.7328531627219268,0.7987462195218953,0.420736322370025,0.4256727867221495
2024-12-03,0.7633074629197163,0.8108374690900535,0.448370269910347,0.44604948084054397
2024-12-04,0.7672748637880564,0.8107432830002598,0.45492639173083177,0.45465247342689835
2024-12-05,0.7557847791111029,0.8083092383023239,0.4583534705223535,0.4605145968602438
2024-12-06,0.751961074893278,0.8072032841979464,0.48543793965187515,0.46164340074209637
2024-12-09,0.7517482039425397,0.8070332863240627,0.43408656384321354,0.4256911792856381
2024-12-10,0.8024143239189407,0.7962403724059199,0.4474540417897024,0.4406451434473986
2024-12-11,0.7641165852811388,0.7925338536489135,0.4632720173185289,0.4585227217626597
2024-12-12,0.7679466825256475,0.7859956570306017,0.4948949831846854,0.4920540857638826
2024-12-13,0.7690351746837047,0.785676451357503,0.4840505897914716,0.48092248542519794
2024-12-16,0.7584734961951984,0.7859217778161073,0.4505265057930987,0.4476497351858131
2024-12-17,0.7529703146025588,0.7914011856804415,0.46588532939470656,0.46433954189826976
2024-12-18,0.7528513117677236,0.7908502927235364,0.46811405146549706,0.4659846929662968
2024-12-19,0.7527526601543989,0.7883393396697397,0.38766810371918753,0.32205934908401707
2024-12-20,0.8154863781564198,0.8021870886186432,0.31800584613387944,0.27612648799008266
2024-12-23,0.8068300441016033,0.8093929734782273,0.3191232757020313,0.2752722189033507
2024-12-24,0.8256478305065714,0.8139677589503946,0.36448434849952555,0.31931838945026036
2024-12-26,0.8287585644949897,0.8150600468683801,0.409863223469634,0.3614466922510094
2024-12-27,0.8307739806623565,0.8161132290710906,0.4560807059313512,0.3998616110578699
2024-12-30,0.6959187212274588,0.806210245437991,0.47433820920226405,0.4315154542232023
2024-12-31,0.6668031386884551,0.8061117415024313,0.42453164433608664,0.40599755919055586
